"position";"label"
0.117460317;"bass"
0.247619048;"bass"
0.372698413;"bass"
0.372698413;"kick"
0.372698413;"hihat"
0.646349206;"hihat"
0.911111111;"bass"
0.911111111;"kick"
0.911111111;"hihat"
0.911111111;"snare"
1.184761905;"hihat"
1.445442177;"bass"
1.445442177;"kick"
1.445442177;"hihat"
1.735238095;"hihat"
2.000000000;"kick"
2.000000000;"hihat"
2.000000000;"snare"
2.287619048;"hihat"
